Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Pendapatan Premi,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Klaim,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Kenaikan Nilai Wajar Aset Keuangan,Keuntungan Dari Penjualan Aset-Aset Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan Dan Non- Keuangan,Others,Total Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan Dan Non- Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Beban Pemasaran,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,15557230000000.000000,14455271000000.000000,422449000000.000000,679510000000.000000,15557230000000.000000,-7410289000000.000000,-7370413000000.000000,,-39876000000.000000,-7410289000000.000000,8146941000000.000000,-6879293000000.000000,,1596604000000.000000,,1222737000000.000000,,265641000000.000000,365224000000.000000,3450206000000.000000,,,-2703572000000.000000,-2703572000000.000000,-3691747000000.000000,-2389407000000.000000,,-296805000000.000000,-1247968000000.000000,-10329499000000.000000,-6879293000000.000000,1267648000000.000000,213492000000.000000,1481140000000.000000,-579396000000.000000,,,-579396000000.000000,901744000000.000000,-3816000000.000000,897928000000.000000,,,,,897928000000.000000,901744000000.000000,-3816000000.000000,897928000000.000000,,,,
12M 2008,17392402000000.000000,16103368000000.000000,524771000000.000000,764263000000.000000,17392402000000.000000,-6716256000000.000000,-6661349000000.000000,,-54907000000.000000,-6716256000000.000000,10676146000000.000000,-8801623000000.000000,,1975746000000.000000,,-143240000000.000000,,629965000000.000000,322155000000.000000,2784626000000.000000,,-4358607000000.000000,,-4358607000000.000000,-3298886000000.000000,-2273336000000.000000,,-351967000000.000000,-1303453000000.000000,-11586249000000.000000,-8801623000000.000000,1874523000000.000000,57862000000.000000,1932385000000.000000,-706480000000.000000,,,-706480000000.000000,1225905000000.000000,-3420000000.000000,1222485000000.000000,,,,,1222485000000.000000,1225905000000.000000,-3420000000.000000,1222485000000.000000,,,,
12M 2009,20473339000000.000000,18878575000000.000000,568191000000.000000,1026573000000.000000,20473339000000.000000,-8313998000000.000000,-8294120000000.000000,,-19878000000.000000,-8313998000000.000000,12159341000000.000000,-8773227000000.000000,,2231196000000.000000,,424428000000.000000,,261966000000.000000,351222000000.000000,3268812000000.000000,,-4050809000000.000000,,-4050809000000.000000,-3460000000000.000000,-2311820000000.000000,,-427323000000.000000,-1792087000000.000000,-12042039000000.000000,-8773227000000.000000,3386114000000.000000,57835000000.000000,3443949000000.000000,-957230000000.000000,,,-957230000000.000000,2486719000000.000000,-2724000000.000000,2483995000000.000000,,,,,2483995000000.000000,2486719000000.000000,-2724000000.000000,2483995000000.000000,,,,
12M 2010,20165495000000.000000,18837397000000.000000,,1328098000000.000000,20165495000000.000000,-7116680000000.000000,-7099714000000.000000,,-16966000000.000000,-7116680000000.000000,13048815000000.000000,-7539797000000.000000,,2386391000000.000000,1821088000000.000000,233629000000.000000,727092000000.000000,177308000000.000000,387447000000.000000,5732955000000.000000,,-3629395000000.000000,,-3629395000000.000000,-4126640000000.000000,-2760917000000.000000,,-675153000000.000000,-2080647000000.000000,-13272752000000.000000,-7539797000000.000000,5509018000000.000000,-23558000000.000000,5485460000000.000000,-1382262000000.000000,,,-1382262000000.000000,4103198000000.000000,-1492000000.000000,4101706000000.000000,,,,,4101706000000.000000,4103198000000.000000,-1492000000.000000,4101706000000.000000,,,,
12M 2011,21729883000000.000000,20691796000000.000000,,1038087000000.000000,21729883000000.000000,-7495982000000.000000,-7495982000000.000000,,,-7495982000000.000000,14233901000000.000000,-6991318000000.000000,,2656767000000.000000,1710844000000.000000,351442000000.000000,1068770000000.000000,181059000000.000000,594506000000.000000,6563388000000.000000,,-2420704000000.000000,,-2420704000000.000000,-5042161000000.000000,-3380422000000.000000,,-682569000000.000000,-2028850000000.000000,-13554706000000.000000,-6991318000000.000000,7242583000000.000000,218725000000.000000,7461308000000.000000,-1653090000000.000000,-1404219000000.000000,-248871000000.000000,-1653090000000.000000,5808218000000.000000,,5808218000000.000000,182926000000.000000,182926000000.000000,182926000000.000000,5991144000000.000000,5808218000000.000000,5825904000000.000000,-17686000000.000000,5808218000000.000000,5991144000000.000000,6007817000000.000000,-16673000000.000000,5991144000000.000000
12M 2012,23894991000000.000000,22704515000000.000000,,1190476000000.000000,23894991000000.000000,-7245524000000.000000,-7245524000000.000000,,,-7245524000000.000000,16649467000000.000000,-8008444000000.000000,,3155496000000.000000,2038182000000.000000,56679000000.000000,1134158000000.000000,204690000000.000000,666132000000.000000,7255337000000.000000,,-2524677000000.000000,,-2524677000000.000000,-5577867000000.000000,-3920571000000.000000,,-820454000000.000000,-2420212000000.000000,-15263781000000.000000,-8008444000000.000000,8641023000000.000000,258539000000.000000,8899562000000.000000,-1851200000000.000000,-1528370000000.000000,-322830000000.000000,-1851200000000.000000,7048362000000.000000,,7048362000000.000000,154242000000.000000,154242000000.000000,154242000000.000000,7202604000000.000000,7048362000000.000000,7046145000000.000000,2217000000.000000,7048362000000.000000,7202604000000.000000,7200391000000.000000,2213000000.000000,7202604000000.000000
12M 2013,28032814000000.000000,26450708000000.000000,,1582106000000.000000,28032814000000.000000,-7392427000000.000000,-7392427000000.000000,,,-7392427000000.000000,20640387000000.000000,-9421584000000.000000,,3999960000000.000000,2137692000000.000000,39566000000.000000,496747000000.000000,530731000000.000000,654102000000.000000,7858798000000.000000,,-2707694000000.000000,,-2707694000000.000000,-6083876000000.000000,-4539699000000.000000,,-935349000000.000000,-3013764000000.000000,-17280382000000.000000,-9421584000000.000000,11218803000000.000000,59362000000.000000,11278165000000.000000,-2220224000000.000000,-2182964000000.000000,-37260000000.000000,-2220224000000.000000,9057941000000.000000,,9057941000000.000000,-2814087000000.000000,-2814087000000.000000,-2814087000000.000000,6243854000000.000000,9057941000000.000000,9054345000000.000000,3596000000.000000,9057941000000.000000,6243854000000.000000,6240258000000.000000,3596000000.000000,6243854000000.000000
12M 2014,34840448000000.000000,33364942000000.000000,,1475506000000.000000,34840448000000.000000,-10988641000000.000000,-10988641000000.000000,,,-10988641000000.000000,23851807000000.000000,-10505516000000.000000,,5027135000000.000000,1856400000000.000000,416830000000.000000,481741000000.000000,692645000000.000000,765099000000.000000,9239850000000.000000,,-3641992000000.000000,,-3641992000000.000000,-6781041000000.000000,-5090784000000.000000,,-844804000000.000000,-3386745000000.000000,-19745366000000.000000,-10505516000000.000000,13346291000000.000000,178019000000.000000,13524310000000.000000,-2694931000000.000000,-2686458000000.000000,-8473000000.000000,-2694931000000.000000,10829379000000.000000,,10829379000000.000000,1085353000000.000000,1085353000000.000000,1085353000000.000000,11914732000000.000000,10829379000000.000000,10782628000000.000000,46751000000.000000,10829379000000.000000,11914732000000.000000,11867981000000.000000,46751000000.000000,11914732000000.000000
12M 2015,40205877000000.000000,36895081000000.000000,,3310796000000.000000,40205877000000.000000,-11334885000000.000000,-11334885000000.000000,,,-11334885000000.000000,28870992000000.000000,-17458911000000.000000,,5539509000000.000000,1590469000000.000000,-115052000000.000000,723580000000.000000,515081000000.000000,618793000000.000000,8872380000000.000000,,-7336259000000.000000,,-7336259000000.000000,-7365834000000.000000,-5758344000000.000000,,-884631000000.000000,-4986223000000.000000,-26331291000000.000000,-17458911000000.000000,11412081000000.000000,54067000000.000000,11466148000000.000000,-2325616000000.000000,-3033413000000.000000,707797000000.000000,-2325616000000.000000,9140532000000.000000,,9140532000000.000000,11722015000000.000000,11722015000000.000000,11722015000000.000000,20862547000000.000000,9140532000000.000000,9066581000000.000000,73951000000.000000,9140532000000.000000,20862547000000.000000,20788596000000.000000,73951000000.000000,20862547000000.000000
12M 2016,49365262000000.000000,43768439000000.000000,,5596823000000.000000,49365262000000.000000,-18028639000000.000000,-13773377000000.000000,-4255262000000.000000,,-18028639000000.000000,31336623000000.000000,-17107291000000.000000,,6472654000000.000000,1377944000000.000000,,,685019000000.000000,1427066000000.000000,9962683000000.000000,,-7853131000000.000000,,-7853131000000.000000,-8833954000000.000000,-6211925000000.000000,,-945652000000.000000,-3225312000000.000000,-27069974000000.000000,-17107291000000.000000,14229332000000.000000,73573000000.000000,14302905000000.000000,-2892709000000.000000,-2959750000000.000000,67041000000.000000,-2892709000000.000000,11410196000000.000000,,11410196000000.000000,922488000000.000000,922488000000.000000,922488000000.000000,12332684000000.000000,11410196000000.000000,11338748000000.000000,71448000000.000000,11410196000000.000000,12332684000000.000000,12259504000000.000000,73180000000.000000,12332684000000.000000
