Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,34.99,34.99,0.0,1.04,0.0,0.0,-0.0,0.0,0.03
12M 2016,49.77,49.77,0.0,1.13,0.0,0.0,-0.0,0.0,0.12
12M 2017,2.83,2.83,0.01,1.39,0.0,0.0,-0.3,0.01,0.39
12M 2018,1.43,1.43,0.98,2.51,0.0,0.0,0.53,0.39,1.51
12M 2019,1.49,1.49,0.77,2.51,0.0,0.0,0.35,0.31,1.51
12M 2020,1.44,1.44,0.7,2.81,0.0,0.0,0.05,0.25,1.81
12M 2021,1.79,1.79,0.46,2.12,0.0,0.0,-0.21,0.22,1.11
12M 2022,1.51,1.51,0.44,2.07,0.0,0.0,-0.04,0.21,1.06
12M 2023,1.61,1.61,0.23,1.71,0.0,0.0,-0.11,0.13,0.71
12M 2024,1.88,1.88,0.26,1.77,0.0,0.0,-0.28,0.15,0.77
