Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,0.13,0.13,34.99
12M 2016,,,,,,,,,,,0.08,0.08,0.08,0.08,49.77
12M 2017,18.66,,18.81,,19.56,9.95,,,10.82,5.27,1.47,1.22,2.47,2.47,2.83
12M 2018,29.92,,37.51,,12.2,10.77,,,13.12,14.51,1.64,1.39,11.04,11.04,1.43
12M 2019,53.06,,47.09,,6.88,6.98,,,6.39,3.72,1.69,1.71,9.66,9.66,1.49
12M 2020,67.96,,55.84,,5.37,7.32,,,4.46,4.76,1.79,2.0,10.4,10.4,1.44
12M 2021,58.39,,62.21,,6.25,9.14,,,4.7,4.88,1.67,1.76,7.26,7.26,1.79
12M 2022,55.8,,48.17,,6.54,5.88,,,3.83,3.13,1.51,1.3,8.05,8.05,1.51
12M 2023,65.14,,46.72,,5.6,6.93,,,2.73,2.65,1.26,1.34,8.6,8.6,1.61
12M 2024,41.7,,42.87,,8.75,8.56,,,2.87,3.06,1.36,1.32,6.94,6.94,1.88
