Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,0.72 B,6.88,18.17,11.14,,7.45%,7.71%,15.48%,3916.48
12M 2016,0.72 B,4.16,30.05,15.98,,3.96%,4.45%,4.30%,953.94
12M 2017,0.72 B,20.47,14.26,1.49,,12.79%,17.81%,19.10%,2732.12
12M 2018,0.72 B,36.69,10.74,0.89,45.97 B,9.61%,24.12%,27.14%,48.69
12M 2019,0.72 B,5.79,197.75,1.74,63.76 B,1.46%,3.67%,23.23%,3.98
12M 2020,0.72 B,4.19,98.81,0.57,37.80 B,1.01%,2.84%,8.73%,1.60
12M 2021,0.72 B,33.56,26.37,1.33,58.07 B,8.75%,18.53%,19.79%,4.27
12M 2022,0.72 B,65.01,4.46,0.43,85.87 B,12.78%,26.42%,26.61%,6.78
12M 2023,0.72 B,16.30,8.65,0.24,33.66 B,3.65%,6.24%,0.34%,0.13
12M 2024,0.72 B,-26.79,-9.03,0.41,10.73 B,-6.47%,-11.46%,-9.68%,-3.50
