Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,344 B,(147 B),197 B,103.69
12M 2009,383 B,(69 B),314 B,164.29
12M 2010,689 B,(22 B),667 B,346.87
12M 2011,928 B,(32 B),895 B,462.86
12M 2012,837 B,(64 B),774 B,79.34
12M 2013,"1,271 B",(128 B),"1,143 B",78.18
12M 2014,"1,179 B",(161 B),"1,017 B",69.57
12M 2015,"1,507 B",(307 B),"1,200 B",82.05
12M 2016,"1,385 B",(150 B),"1,235 B",84.46
12M 2017,"1,251 B",(171 B),"1,079 B",73.81
12M 2018,"1,688 B",(271 B),"1,416 B",96.87
12M 2019,"1,193 B",(546 B),647 B,43.80
12M 2020,"1,845 B",(191 B),"1,654 B",111.92
12M 2021,"1,325 B",(253 B),"1,072 B",14.49
12M 2022,(462 B),(373 B),(835 B),-11.29
12M 2023,"1,398 B",(412 B),987 B,13.34
12M 2024,984 B,(205 B),779 B,10.52
