Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.90 B,109.41,3.88,0.47,,8.95%,15.34%,47.31%,5.00
12M 2009,1.91 B,149.38,4.02,0.71,,12.10%,20.45%,24.29%,7.42
12M 2010,1.92 B,275.88,12.87,3.54,,21.07%,35.66%,38.77%,12.42
12M 2011,1.93 B,471.83,16.64,6.58,,36.35%,60.70%,67.42%,19.19
12M 2012,9.75 B,93.64,24.03,9.79,,31.56%,41.73%,60.00%,28.13
12M 2013,14.62 B,87.52,29.99,10.39,,31.91%,46.74%,60.84%,37.60
12M 2014,14.62 B,99.42,35.20,12.62,,30.74%,42.19%,53.14%,28.27
12M 2015,14.62 B,104.20,29.75,10.70,,33.37%,48.42%,52.91%,46.80
12M 2016,14.62 B,102.65,27.28,9.05,,31.14%,43.80%,53.17%,70.20
12M 2017,14.62 B,91.06,27.23,8.14,,24.72%,34.13%,41.83%,110.41
12M 2018,14.62 B,101.55,18.41,5.47,"2,157.18 B",24.19%,32.48%,38.85%,667.97
12M 2019,14.77 B,72.43,19.47,3.77,"1,561.26 B",15.93%,21.80%,24.06%,577.83
12M 2020,14.78 B,77.70,29.47,6.63,"1,700.48 B",16.97%,35.09%,26.65%,185.78
12M 2021,73.97 B,18.22,17.89,4.07,"2,000.54 B",13.59%,21.09%,26.08%,34.15
12M 2022,73.97 B,11.44,18.01,2.14,"1,369.32 B",7.72%,11.22%,12.89%,27.69
12M 2023,73.97 B,4.52,37.61,1.93,628.52 B,3.03%,4.47%,3.84%,28.33
12M 2024,73.97 B,8.04,20.77,1.75,952.26 B,5.50%,7.95%,7.53%,335.97
