Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"4,745 B","(1,195 B)","3,550 B",809.98
12M 2009,"4,306 B",(575 B),"3,730 B",851.11
12M 2010,"7,060 B",(397 B),"6,663 B",1520.12
12M 2011,"11,088 B",(444 B),"10,644 B",2428.55
12M 2012,"4,087 B",(801 B),"3,287 B",749.89
12M 2013,"10,802 B","(1,484 B)","9,319 B",2126.07
12M 2014,"11,103 B","(1,577 B)","9,526 B",2173.45
12M 2015,811 B,"(1,023 B)",(212 B),-45.63
12M 2016,"14,077 B","(1,050 B)","13,026 B",111.99
12M 2017,"15,376 B","(1,152 B)","14,225 B",122.29
12M 2018,"20,193 B",(989 B),"19,204 B",165.10
12M 2019,"17,146 B",(960 B),"16,186 B",139.16
12M 2020,"11,953 B",(567 B),"11,386 B",97.89
12M 2021,"10,302 B",(412 B),"9,890 B",85.03
12M 2022,"7,355 B","(2,179 B)","5,177 B",44.50
12M 2023,"6,282 B","(1,702 B)","4,580 B",39.38
12M 2024,"5,164 B","(1,827 B)","3,337 B",28.69
