Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,4.38 B,889.14,9.05,1.02,,24.15%,48.42%,146.62%,37.31
12M 2009,4.38 B,1161.15,8.89,1.16,,28.73%,48.65%,75.00%,43.80
12M 2010,4.38 B,1465.38,19.07,2.82,,31.29%,62.88%,80.23%,236.96
12M 2011,4.38 B,1840.16,21.04,3.21,,41.63%,79.06%,98.16%,489.89
12M 2012,4.38 B,2269.06,26.21,3.91,,37.89%,74.73%,105.80%,384.92
12M 2013,4.38 B,2468.28,25.10,3.62,,39.48%,76.43%,98.55%,211.37
12M 2014,4.38 B,2322.86,29.34,3.70,,35.87%,75.43%,91.85%,291.16
12M 2015,4.65 B,2227.36,42.20,4.91,,27.26%,32.37%,58.23%,101.49
12M 2016,116.32 B,109.72,34.91,4.67,,30.02%,37.34%,46.07%,717.63
12M 2017,116.32 B,108.93,43.42,5.55,,29.37%,37.14%,44.30%,631.00
12M 2018,116.32 B,116.39,31.88,4.04,"17,834.82 B",29.05%,38.29%,45.34%,553.60
12M 2019,116.32 B,117.97,17.80,2.30,"18,451.53 B",26.96%,38.46%,44.95%,319.47
12M 2020,116.32 B,73.78,20.40,1.89,"11,730.36 B",17.28%,28.38%,29.26%,208.11
12M 2021,116.32 B,61.36,15.73,1.14,"9,741.17 B",13.44%,24.45%,26.80%,151.84
12M 2022,116.32 B,54.37,15.45,0.88,"8,860.25 B",11.54%,22.45%,25.27%,154.91
12M 2023,116.32 B,69.61,12.86,0.90,"10,074.44 B",14.64%,27.11%,28.80%,214.72
12M 2024,116.32 B,57.13,11.12,0.63,"8,879.99 B",12.24%,23.44%,24.58%,194.57
