Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,247 B,(926 B),(679 B),-190.15
12M 2014,564 B,(794 B),(230 B),-32.51
12M 2015,397 B,,(570 B),-80.81
12M 2016,260 B,(915 B),(655 B),-92.85
12M 2017,365 B,(425 B),(60 B),-8.56
12M 2018,131 B,"(1,111 B)",(981 B),-138.94
12M 2019,525 B,,144 B,20.46
12M 2020,395 B,,362 B,51.30
12M 2021,367 B,(25 B),342 B,48.45
12M 2022,585 B,(711 B),(126 B),-17.78
12M 2023,565 B,(30 B),535 B,75.83
12M 2024,660 B,,(200 B),-28.34
