Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,619 B",(243 B),"1,377 B",373.93
12M 2009,"3,184 B",(275 B),"2,910 B",790.45
12M 2010,"3,376 B",(436 B),"2,940 B",798.68
12M 2011,"3,884 B",(513 B),"3,371 B",915.60
12M 2012,"5,675 B",(962 B),"4,713 B",1280.27
12M 2013,"5,419 B","(2,019 B)","3,400 B",923.68
12M 2014,"5,345 B","(3,459 B)","1,886 B",512.21
12M 2015,"5,049 B","(2,734 B)","2,315 B",628.88
12M 2016,"3,546 B",(910 B),"2,636 B",716.00
12M 2017,"2,782 B",(769 B),"2,013 B",546.77
12M 2018,"1,985 B",(524 B),"1,461 B",396.77
12M 2019,"3,531 B","(1,043 B)","2,488 B",675.81
12M 2020,"3,538 B",(684 B),"2,854 B",775.30
12M 2021,"2,607 B",(569 B),"2,038 B",553.52
12M 2022,"2,402 B",(878 B),"1,524 B",413.93
12M 2023,"3,485 B",(555 B),"2,930 B",795.87
12M 2024,"3,348 B",(597 B),"2,751 B",747.43
