Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,539 B,(164 B),375 B,2712107.58
12M 2014,547 B,(297 B),250 B,180.80
12M 2015,700 B,(204 B),496 B,34.08
12M 2016,865 B,(254 B),611 B,41.96
12M 2017,770 B,(473 B),297 B,20.42
12M 2018,743 B,(548 B),196 B,13.45
12M 2019,894 B,(463 B),432 B,30.30
12M 2020,"1,066 B",(341 B),725 B,50.87
12M 2021,"2,090 B",(588 B),"1,501 B",105.37
12M 2022,"1,135 B",(826 B),309 B,21.69
12M 2023,"1,314 B",(551 B),763 B,53.57
12M 2024,"1,729 B",(699 B),"1,030 B",74.08
