Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,2 B,(5 B),(3 B),-16319.38
12M 2010,15 B,(17 B),(2 B),-0.65
12M 2011,59 B,(4 B),55 B,19.28
12M 2012,(93 B),(6 B),(99 B),-31.90
12M 2013,(12 B),(16 B),(28 B),-9.08
12M 2014,78 B,(25 B),52 B,16.88
12M 2015,(12 B),(56 B),(67 B),-21.67
12M 2016,(101 B),(34 B),(135 B),-39.70
12M 2017,(38 B),(86 B),(124 B),-36.40
12M 2018,32 B,(176 B),(144 B),-21.14
12M 2019,85 B,(41 B),43 B,6.35
12M 2020,(55 B),(4 B),(59 B),-8.64
12M 2021,1 B,(4 B),(3 B),-0.46
12M 2022,2 B,(0 B),2 B,0.24
12M 2023,5 B,(29 B),(24 B),-1.15
12M 2024,68 B,(34 B),34 B,1.64
