Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.00 B,22959.74,0.00,0.00,,0.83%,2.23%,1.03%,
12M 2010,2.86 B,14.30,22.80,5.60,,4.63%,8.91%,9.25%,
12M 2011,2.86 B,19.03,23.12,5.80,,6.26%,10.59%,10.83%,
12M 2012,3.10 B,17.93,27.89,6.90,,4.55%,8.20%,9.42%,
12M 2013,3.10 B,20.99,29.06,7.75,,4.39%,8.76%,8.11%,3.06
12M 2014,3.10 B,9.68,56.82,6.64,,1.80%,3.88%,4.26%,1.51
12M 2015,3.10 B,-12.63,-47.19,9.28,,-1.53%,-3.03%,-0.29%,-0.12
12M 2016,3.41 B,-3.14,-181.53,8.20,,-0.36%,-0.71%,2.58%,0.96
12M 2017,3.41 B,-10.72,-48.51,7.03,,-1.11%,-2.48%,0.08%,0.03
12M 2018,6.81 B,4.79,43.01,2.87,150.59 B,0.79%,1.81%,3.45%,1.18
12M 2019,6.81 B,-7.41,-9.99,0.82,48.25 B,-1.20%,-2.86%,-1.56%,-0.56
12M 2020,6.81 B,-132.41,-0.42,5.52,"(1,021.78 B)",-39.60%,-168.84%,-63.05%,-9.43
12M 2021,6.81 B,-50.89,-1.18,6.65,(143.88 B),-18.61%,-181.91%,-59.32%,-1.09
12M 2022,6.81 B,-5.55,-10.81,6.29,21.26 B,-2.01%,-24.73%,-42.89%,-0.94
12M 2023,20.59 B,1.72,35.47,3.38,49.27 B,2.07%,3.71%,0.91%,0.16
12M 2024,20.59 B,0.41,141.46,3.36,104.86 B,0.40%,0.63%,4.04%,1.44
