Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.57 B,1724.42,6.62,2.20,,41.65%,52.66%,122.73%,18867.84
12M 2009,1.57 B,1098.37,24.12,5.62,,22.84%,27.78%,43.02%,85.25
12M 2010,1.57 B,1335.87,22.84,5.43,,23.93%,29.17%,41.76%,363.13
12M 2011,1.57 B,1527.59,16.54,3.69,,23.57%,29.55%,38.75%,550.41
12M 2012,1.57 B,1530.57,14.99,3.12,,19.41%,26.69%,37.17%,118.29
12M 2013,1.57 B,1143.93,25.55,3.63,,12.04%,18.21%,28.58%,6.77
12M 2014,1.57 B,1589.91,17.76,2.73,,13.49%,21.92%,29.02%,38.74
12M 2015,1.57 B,393.15,46.94,2.23,,2.88%,5.49%,11.43%,14.77
12M 2016,1.92 B,1042.75,16.09,2.29,,8.28%,11.71%,13.89%,18.35
12M 2017,1.92 B,1044.50,12.59,1.46,,8.06%,11.13%,14.22%,23.04
12M 2018,1.92 B,747.40,15.82,1.19,"3,586.08 B",5.36%,7.58%,10.02%,10.33
12M 2019,1.92 B,109.69,132.87,1.61,"2,264.01 B",0.78%,1.14%,3.90%,2.74
12M 2020,1.92 B,432.84,28.47,1.26,"3,179.06 B",3.00%,4.44%,7.17%,4.40
12M 2021,1.92 B,1024.25,9.28,0.75,"4,712.12 B",6.48%,9.56%,13.60%,8.69
12M 2022,1.92 B,897.08,8.95,0.71,"3,656.89 B",5.90%,7.96%,9.14%,6.44
12M 2023,1.92 B,548.61,12.81,0.65,"2,614.63 B",3.66%,4.80%,4.80%,4.66
12M 2024,1.92 B,596.22,10.40,0.55,"3,094.66 B",3.99%,5.07%,6.57%,6.27
