Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"2,087 B","(1,279 B)",808 B,513.11
12M 2009,"1,985 B","(1,284 B)",701 B,445.09
12M 2010,"2,947 B","(1,536 B)","1,411 B",895.73
12M 2011,"3,162 B","(2,033 B)","1,130 B",717.50
12M 2012,"2,610 B","(2,631 B)",(21 B),-13.36
12M 2013,"3,157 B","(2,861 B)",295 B,187.38
12M 2014,"3,022 B","(3,278 B)",(256 B),-162.70
12M 2015,"1,028 B","(3,044 B)","(2,017 B)",-1280.65
12M 2016,"2,512 B","(2,350 B)",162 B,84.12
12M 2017,"2,842 B","(1,663 B)","1,179 B",612.64
12M 2018,"2,045 B","(1,577 B)",468 B,243.34
12M 2019,"1,292 B","(1,272 B)",20 B,10.64
12M 2020,"2,322 B",(971 B),"1,352 B",702.27
12M 2021,"4,895 B","(1,229 B)","3,666 B",1904.54
12M 2022,"1,835 B","(1,379 B)",456 B,236.90
12M 2023,"2,539 B","(1,236 B)","1,302 B",676.68
12M 2024,"3,379 B",(941 B),"2,439 B",1267.01
