Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.20 B,8.93,67.19,6.49,,3.71%,4.49%,13.67%,5.23
12M 2009,1.20 B,1.30,88.46,0.96,,0.58%,0.65%,2.13%,1.47
12M 2010,1.20 B,1.42,45.07,0.53,,0.53%,0.71%,1.70%,2.64
12M 2011,1.20 B,-6.16,-10.06,0.73,,-3.00%,-3.18%,-2.78%,-2.53
12M 2012,1.20 B,-17.15,-5.07,3.28,,-9.19%,-9.70%,-10.61%,-158.72
12M 2013,1.20 B,-30.47,-3.71,11.49,,-19.67%,-20.81%,-22.70%,-53969.54
12M 2014,1.20 B,-19.25,-2.91,9.12,,-14.17%,-15.14%,-4.09%,-191.96
12M 2015,1.20 B,-6.81,-7.34,8.39,,-5.25%,-5.67%,-5.18%,-89.76
12M 2016,1.20 B,-5.95,-8.40,125.29,,-4.81%,-5.18%,-4.67%,
12M 2017,1.20 B,-8.34,-6.00,4.33,,-7.43%,-7.82%,-6.96%,
12M 2018,1.20 B,-2.36,-21.19,15.25,(1.20 B),-2.16%,-2.26%,-2.79%,
12M 2019,1.20 B,-2.11,-23.70,229.02,(0.03 B),-1.99%,-2.06%,-1.96%,
12M 2020,1.20 B,-4.58,-10.92,9.72,(3.44 B),-4.22%,-5.11%,-4.80%,
