Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,5.84,2.28,0.16,1.21,0.0,0.0,0.11,0.13,0.21
12M 2009,10.2,4.24,0.08,1.12,0.0,0.0,0.08,0.07,0.12
12M 2010,3.44,1.63,0.09,1.35,0.0,0.0,0.08,0.07,0.35
12M 2011,48.05,13.89,0.03,1.06,0.0,0.0,0.03,0.03,0.06
12M 2012,68.11,22.68,0.04,1.05,0.0,0.0,-0.01,0.03,0.05
12M 2013,158.12,67.73,0.04,1.06,0.0,0.0,-0.04,0.04,0.06
12M 2014,238.31,71.85,0.05,1.07,0.0,0.0,-0.01,0.05,0.07
12M 2015,161.03,47.59,0.05,1.08,0.0,0.0,-0.01,0.05,0.08
12M 2016,208.43,55.9,0.05,1.08,0.0,0.0,-0.0,0.05,0.08
12M 2017,194.44,60.83,0.03,1.05,0.0,0.0,-0.04,0.03,0.05
12M 2018,2726.45,885.07,0.03,1.05,0.0,0.0,-0.06,0.03,0.05
12M 2019,612.43,195.17,0.03,1.04,0.0,0.0,-0.08,0.02,0.04
12M 2020,4.65,1.36,0.02,1.21,0.0,0.0,-0.03,0.02,0.21
