Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,3.65 B,26.19,9.89,2.77,,5.71%,21.64%,18.37%,4.08
12M 2008,3.65 B,8.56,11.57,1.25,,3.23%,8.19%,7.22%,1.34
12M 2009,3.65 B,5.80,25.52,2.87,,2.26%,5.85%,3.98%,1.31
12M 2010,3.65 B,4.38,21.23,1.98,,1.86%,4.36%,2.11%,1.17
12M 2011,3.65 B,1.65,44.85,1.67,,0.88%,1.63%,0.23%,0.23
12M 2012,3.65 B,-34.64,-2.97,2.57,,-25.74%,-52.58%,-4.63%,-5.41
12M 2013,7.11 B,0.52,113.46,2.23,,0.55%,0.69%,0.47%,0.32
12M 2014,7.11 B,3.80,17.89,1.85,,3.01%,5.00%,5.42%,2.52
12M 2015,7.11 B,4.67,10.92,1.12,,2.57%,5.60%,5.73%,1.89
12M 2016,7.11 B,6.54,10.55,1.24,,2.96%,7.27%,6.93%,2.26
12M 2017,7.11 B,7.62,19.55,2.63,,1.70%,7.78%,4.35%,2.35
12M 2018,7.11 B,8.40,14.76,1.97,145.69 B,2.23%,7.54%,4.61%,2.27
12M 2019,7.11 B,9.12,16.12,2.36,153.08 B,2.13%,7.56%,5.02%,2.33
12M 2020,7.11 B,3.98,23.62,1.58,134.04 B,1.06%,3.44%,4.00%,1.76
12M 2021,7.11 B,7.30,49.32,5.55,141.76 B,2.85%,5.92%,5.39%,1.98
12M 2022,7.11 B,24.97,9.05,2.28,276.25 B,8.41%,16.82%,13.06%,4.72
12M 2023,7.11 B,22.85,12.87,2.93,282.96 B,5.65%,13.34%,10.68%,3.62
12M 2024,7.11 B,36.55,10.12,2.90,426.65 B,7.34%,17.56%,12.74%,4.59
