Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,36 B,(578 B),(542 B),-74.21
12M 2009,288 B,(241 B),47 B,6.49
12M 2010,34 B,(180 B),(146 B),-19.94
12M 2011,340 B,(489 B),(148 B),-20.29
12M 2012,375 B,(104 B),272 B,37.23
12M 2013,754 B,(125 B),628 B,86.07
12M 2014,421 B,(373 B),48 B,6.59
12M 2015,424 B,(499 B),(74 B),-10.21
12M 2016,447 B,(276 B),171 B,23.40
12M 2017,395 B,(46 B),350 B,47.89
12M 2018,345 B,(50 B),294 B,40.34
12M 2019,576 B,(32 B),544 B,74.52
12M 2020,944 B,(419 B),525 B,71.89
12M 2021,"1,004 B",(321 B),683 B,93.56
12M 2022,"1,461 B",(372 B),"1,089 B",149.18
12M 2023,"1,390 B",(477 B),913 B,125.07
12M 2024,"1,747 B",(375 B),"1,372 B",188.02
