Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,7.30 B,19.19,6.10,0.34,,4.22%,8.68%,16.75%,3.06
12M 2009,7.30 B,64.33,5.52,0.71,,11.15%,24.58%,11.75%,2.97
12M 2010,7.30 B,8.77,37.06,0.56,,1.74%,3.30%,5.41%,1.68
12M 2011,7.30 B,-5.86,-39.25,0.36,,-1.01%,-2.17%,1.54%,0.43
12M 2012,7.30 B,17.53,9.87,0.26,,2.98%,6.34%,9.44%,2.86
12M 2013,7.30 B,32.62,10.12,0.59,,5.45%,10.54%,10.82%,5.43
12M 2014,7.30 B,56.51,12.12,1.18,,9.71%,16.16%,14.96%,12.55
12M 2015,7.30 B,51.43,4.80,0.48,,8.52%,14.43%,16.14%,12.97
12M 2016,7.30 B,42.60,9.86,0.85,,7.42%,10.95%,14.21%,17.26
12M 2017,7.30 B,33.86,10.99,0.55,,5.09%,8.11%,11.42%,17.36
12M 2018,7.30 B,37.86,9.09,0.38,767.22 B,4.88%,8.38%,11.47%,4.23
12M 2019,7.30 B,48.84,6.27,0.27,966.06 B,5.24%,9.97%,13.61%,13.18
12M 2020,7.30 B,34.13,10.31,0.33,"1,099.18 B",3.29%,6.66%,9.41%,3.31
12M 2021,7.30 B,14.90,18.52,0.25,935.47 B,1.50%,2.88%,6.52%,2.60
12M 2022,7.30 B,51.80,6.02,0.19,"1,146.43 B",4.28%,9.19%,10.01%,3.47
12M 2023,7.30 B,68.94,5.63,0.23,"1,281.77 B",5.24%,11.40%,12.58%,5.81
12M 2024,7.30 B,97.78,4.42,0.24,"1,454.58 B",6.71%,14.56%,15.22%,6.46
