Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,16 B,(28 B),(12 B),-85.44
12M 2009,27 B,(27 B),0 B,0.45
12M 2010,60 B,(56 B),4 B,29.69
12M 2011,97 B,(72 B),25 B,178.85
12M 2012,101 B,(95 B),6 B,9.01
12M 2013,103 B,(71 B),32 B,46.26
12M 2014,198 B,(48 B),150 B,217.75
12M 2015,276 B,(58 B),218 B,286.98
12M 2016,90 B,(217 B),(127 B),-129.99
12M 2017,9 B,(73 B),(64 B),-65.49
12M 2018,56 B,(112 B),(56 B),-57.34
12M 2019,142 B,(112 B),31 B,31.23
12M 2020,105 B,(38 B),68 B,69.19
12M 2021,5 B,(31 B),(26 B),-27.01
12M 2022,30 B,(42 B),(11 B),-11.38
12M 2023,162 B,(61 B),102 B,103.85
12M 2024,75 B,(164 B),(89 B),-90.72
