Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.01 B,2.55,27.45,0.22,,0.46%,0.65%,8.31%,1.71
12M 2009,1.01 B,5.94,36.20,0.57,,1.11%,1.50%,3.99%,1.50
12M 2010,1.01 B,2.77,97.47,0.68,,0.46%,0.70%,3.52%,1.45
12M 2011,1.01 B,5.38,38.10,0.41,,0.79%,1.33%,5.18%,1.53
12M 2012,1.01 B,2.32,109.91,0.43,,0.29%,0.57%,7.39%,1.48
12M 2013,1.01 B,-11.94,-18.01,0.32,,-1.46%,-3.03%,7.67%,1.19
12M 2014,1.01 B,1.70,102.94,0.34,,0.21%,0.43%,7.91%,1.07
12M 2015,1.01 B,3.93,28.75,0.25,,0.50%,0.99%,9.77%,1.35
12M 2016,1.01 B,6.87,19.65,0.33,,0.86%,1.70%,7.39%,1.06
12M 2017,1.01 B,-30.88,-5.41,0.41,,-3.73%,-8.28%,0.54%,0.08
12M 2018,1.01 B,-46.00,-3.13,0.32,(2.22 B),-5.90%,-14.04%,-4.30%,-0.68
12M 2019,1.01 B,-41.32,-2.15,0.17,(4.06 B),-5.65%,-14.40%,-5.69%,-0.81
12M 2020,1.01 B,-40.98,-2.07,0.17,(3.35 B),-5.92%,-16.77%,-7.05%,-0.92
12M 2021,1.01 B,-14.24,-13.69,0.35,31.63 B,-2.04%,-6.30%,4.38%,0.55
12M 2022,1.01 B,-24.40,-4.75,0.20,16.13 B,-3.54%,-11.95%,-0.67%,-0.09
12M 2023,1.01 B,-27.70,-4.01,0.21,8.27 B,-4.18%,-15.78%,-3.85%,-0.46
12M 2024,1.01 B,-37.03,-3.67,0.26,0.99 B,-5.45%,-26.83%,-5.89%,-0.85
