Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.35,0.86,0.22,1.43,0.0,0.0,0.2,0.15,0.43
12M 2009,2.78,1.25,0.19,1.36,0.0,0.0,0.18,0.14,0.36
12M 2010,1.76,1.01,0.32,1.52,0.0,0.0,0.23,0.21,0.52
12M 2011,1.48,0.86,0.46,1.68,0.0,0.0,0.43,0.28,0.68
12M 2012,1.24,0.6,0.58,1.99,0.0,0.0,0.56,0.29,0.99
12M 2013,1.19,0.64,0.7,2.07,0.0,0.0,0.68,0.34,1.07
12M 2014,1.24,0.71,0.68,2.03,0.0,0.0,0.66,0.34,1.03
12M 2015,1.26,0.72,0.66,1.98,0.0,0.0,0.64,0.33,0.98
12M 2016,1.27,0.73,0.66,1.99,0.0,0.0,0.65,0.33,0.99
12M 2017,1.35,0.69,0.8,2.22,0.0,0.0,0.78,0.36,1.22
12M 2018,1.16,0.48,0.88,2.38,0.0,0.0,0.86,0.37,1.38
12M 2019,1.19,0.47,0.98,2.55,0.0,0.0,0.97,0.38,1.55
12M 2020,1.12,0.42,1.06,2.83,0.0,0.0,1.05,0.38,1.83
12M 2021,1.17,0.41,1.19,3.09,0.0,0.0,1.18,0.39,2.09
12M 2022,1.15,0.45,1.24,3.37,0.0,0.0,1.22,0.37,2.37
12M 2023,1.01,0.46,1.42,3.77,0.0,0.0,1.38,0.38,2.77
12M 2024,1.53,0.74,1.88,4.92,0.0,0.0,1.82,0.38,3.92
