Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.13 B,102.56,0.00,0.00,,0.87%,9.80%,2.37%,
12M 2013,1.58 B,4.95,0.00,0.00,,0.56%,4.60%,0.76%,
12M 2014,2.10 B,7.31,30.92,2.60,,0.79%,5.07%,1.23%,
12M 2015,2.10 B,8.04,32.59,2.44,,0.81%,5.28%,1.06%,
12M 2016,2.73 B,6.69,32.88,2.48,,0.77%,3.78%,1.03%,
12M 2017,2.73 B,6.73,147.85,10.93,,0.59%,1.52%,0.88%,
12M 2018,2.73 B,4.18,160.29,6.52,21.56 B,0.30%,0.94%,0.49%,
12M 2019,2.73 B,2.61,329.50,6.63,15.93 B,0.14%,0.58%,0.22%,
12M 2020,5.65 B,3.43,201.17,9.07,53.78 B,0.23%,1.59%,0.42%,
12M 2021,5.65 B,7.03,541.96,31.99,85.25 B,0.26%,1.67%,0.43%,
12M 2022,5.94 B,26.45,150.85,20.20,241.92 B,0.76%,4.78%,1.14%,
12M 2023,6.13 B,33.89,120.68,14.53,353.94 B,0.85%,5.85%,1.19%,
12M 2024,6.13 B,13.34,314.09,13.61,198.72 B,0.33%,2.27%,0.44%,
