Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,138 B,(1 B),137 B,1071.77
12M 2013,(150 B),(0 B),(151 B),-95.35
12M 2014,124 B,(0 B),123 B,58.65
12M 2015,(99 B),(3 B),(102 B),-48.46
12M 2016,257 B,(2 B),255 B,93.59
12M 2017,(209 B),(7 B),(217 B),-79.46
12M 2018,506 B,(9 B),497 B,182.25
12M 2019,415 B,(9 B),406 B,148.90
12M 2020,"2,269 B",(22 B),"2,247 B",397.47
12M 2021,"3,435 B",(17 B),"3,418 B",604.48
12M 2022,(248 B),(32 B),(280 B),-47.13
12M 2023,73 B,(34 B),39 B,6.38
12M 2024,"1,135 B",(106 B),"1,029 B",167.65
