Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.31,0.7,2.07,3.92,0.0,0.0,1.77,0.53,2.91
12M 2009,1.82,0.95,0.3,1.82,0.0,0.0,0.17,0.17,0.82
12M 2010,2.93,1.86,0.1,1.46,0.0,0.0,-0.19,0.07,0.46
12M 2011,3.33,1.85,0.17,1.44,0.0,0.0,0.03,0.12,0.43
12M 2012,3.31,1.76,0.28,1.51,0.0,0.0,0.16,0.18,0.51
12M 2013,3.79,2.05,0.32,1.58,0.0,0.0,0.2,0.2,0.58
12M 2014,2.24,1.27,0.63,1.91,0.0,0.0,0.55,0.33,0.91
12M 2015,2.11,1.15,0.67,1.97,0.0,0.0,0.53,0.34,0.97
12M 2016,2.17,1.25,0.48,1.71,0.0,0.0,0.31,0.28,0.71
12M 2017,2.32,1.19,0.38,1.56,0.0,0.0,0.27,0.24,0.56
12M 2018,2.98,1.68,0.24,1.43,0.0,0.0,0.09,0.17,0.43
12M 2019,2.56,1.46,0.24,1.39,0.0,0.0,0.15,0.18,0.39
12M 2020,2.53,1.46,0.18,1.34,0.0,0.0,0.07,0.14,0.33
12M 2021,2.01,1.03,0.24,1.41,0.0,0.0,0.17,0.17,0.41
12M 2022,1.78,0.89,0.35,1.51,0.0,0.0,0.27,0.23,0.51
12M 2023,1.65,0.81,0.34,1.52,0.0,0.0,0.26,0.23,0.52
12M 2024,2.48,1.39,0.27,1.41,0.0,0.0,0.12,0.19,0.41
