Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,0.00 B,1108.34,15.79,0.14,,1.01%,17.93%,16.96%,3.19
12M 2015,0.00 B,4906.25,2.97,0.12,,3.90%,48.42%,-8.00%,-1.67
12M 2016,0.07 B,-261.18,-2.87,0.12,,-3.53%,-113.82%,-16.54%,-2.56
12M 2017,0.07 B,-264.39,-1.82,0.08,,-2.84%,470.43%,-2.51%,-0.40
12M 2018,0.07 B,-41.82,-11.29,0.06,54.52 B,-0.43%,58.07%,7.11%,0.91
12M 2019,0.07 B,-447.93,-0.75,0.04,28.34 B,-5.14%,92.76%,-5.35%,-0.70
12M 2020,0.07 B,-1067.12,-0.20,0.06,(26.21 B),-14.46%,69.37%,-131.30%,-11.41
12M 2021,0.07 B,-1112.64,-0.28,0.05,(27.43 B),-13.65%,41.64%,58.25%,-13.07
12M 2022,0.07 B,-434.79,-0.51,0.02,27.47 B,-4.90%,13.20%,6.98%,-0.51
12M 2023,0.07 B,-1223.17,-0.10,0.02,(10.25 B),-17.43%,27.09%,20.47%,-1.15
