Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,1.41,5523.27,1.41,5523.27,281 B,,281 B,274 B,(172 B)
12M 2014,2.83,6179.76,2.83,6179.76,280 B,,280 B,276 B,(166 B)
12M 2015,1.44,10133.09,1.44,10133.09,310 B,,310 B,302 B,(171 B)
12M 2016,3.27,229.47,3.27,229.47,365 B,,365 B,352 B,(249 B)
12M 2017,-8.54,-56.20,-8.54,-56.20,352 B,,352 B,344 B,(197 B)
12M 2018,-6.55,-72.02,-6.55,-72.02,348 B,,348 B,339 B,(197 B)
12M 2019,-0.70,-482.88,-0.70,-482.88,350 B,,350 B,334 B,(208 B)
12M 2020,-0.14,-1538.26,-0.14,-1538.26,355 B,,355 B,349 B,(426 B)
12M 2021,-0.12,-2671.75,-0.12,-2671.75,360 B,,360 B,358 B,(478 B)
12M 2022,-0.07,-3292.97,-0.07,-3292.97,335 B,,335 B,330 B,(526 B)
12M 2023,-0.03,-4515.06,-0.03,-4515.06,298 B,,298 B,297 B,(566 B)
