Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(331 B),(32 B),(363 B),-273.89
12M 2009,355 B,(23 B),332 B,250.73
12M 2010,(147 B),(61 B),(208 B),-156.70
12M 2011,(826 B),(28 B),(854 B),-644.66
12M 2012,525 B,(19 B),506 B,382.02
12M 2013,576 B,(23 B),553 B,417.16
12M 2014,(55 B),(27 B),(82 B),-61.85
12M 2015,592 B,(31 B),560 B,422.81
12M 2016,"1,518 B",(33 B),"1,485 B",1120.77
12M 2017,711 B,(34 B),677 B,510.97
12M 2018,(21 B),(46 B),(67 B),-25.31
12M 2019,(641 B),(36 B),(677 B),-255.34
12M 2020,"1,052 B",(23 B),"1,030 B",388.58
12M 2021,(429 B),(35 B),(464 B),-175.26
12M 2022,446 B,(60 B),386 B,145.49
12M 2023,324 B,(94 B),230 B,86.71
12M 2024,(278 B),(69 B),(347 B),-129.65
