Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.17 B,34.26,10.51,0.65,,2.98%,7.45%,11.92%,
12M 2009,0.17 B,20.88,13.89,0.64,,1.95%,4.17%,-2.10%,
12M 2010,0.17 B,15.37,16.66,0.56,,1.10%,2.92%,-4.23%,
12M 2011,0.17 B,52.35,5.27,0.46,,3.71%,8.99%,1.80%,
12M 2012,0.17 B,150.93,3.25,0.56,,7.11%,22.15%,9.70%,
12M 2013,0.17 B,113.62,4.28,0.52,,4.96%,15.46%,4.32%,
12M 2014,0.17 B,56.50,16.81,1.14,,2.24%,7.15%,2.63%,
12M 2015,0.17 B,161.88,2.72,0.38,,5.71%,17.55%,5.96%,
12M 2016,0.35 B,43.92,8.65,0.62,,2.91%,8.81%,2.16%,
12M 2017,0.35 B,38.52,7.42,0.39,,1.82%,5.02%,2.82%,
12M 2018,0.35 B,39.98,6.25,0.31,18.93 B,1.59%,4.95%,1.53%,
12M 2019,0.35 B,22.97,13.41,0.40,16.81 B,0.93%,2.75%,1.02%,
12M 2020,0.35 B,67.91,4.56,0.39,28.94 B,2.71%,7.54%,2.37%,
12M 2021,0.35 B,47.20,6.23,0.42,17.66 B,1.72%,4.62%,1.22%,
12M 2022,0.35 B,14.73,36.66,0.77,9.41 B,0.52%,1.39%,0.33%,
12M 2023,0.35 B,16.68,41.97,1.06,11.50 B,0.60%,1.50%,0.54%,
12M 2024,0.35 B,28.33,16.31,0.85,7.71 B,1.09%,2.34%,0.05%,
