Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(2 B),(0 B),(2 B),-14.06
12M 2009,(42 B),(2 B),(44 B),-251.57
12M 2010,(3 B),(3 B),(6 B),-34.39
12M 2011,(2 B),(2 B),(4 B),-22.24
12M 2012,47 B,(3 B),44 B,252.97
12M 2013,23 B,(7 B),16 B,91.65
12M 2014,6 B,(2 B),4 B,21.25
12M 2015,13 B,(5 B),9 B,50.34
12M 2016,(11 B),(8 B),(19 B),-54.69
12M 2017,11 B,(90 B),(78 B),-225.05
12M 2018,13 B,(5 B),8 B,24.06
12M 2019,(24 B),(8 B),(32 B),-90.62
12M 2020,(7 B),(2 B),(9 B),-25.52
12M 2021,(8 B),(4 B),(13 B),-36.30
12M 2022,(41 B),(4 B),(45 B),-129.07
12M 2023,(58 B),(9 B),(67 B),-192.99
12M 2024,(13 B),(5 B),(18 B),-52.72
