Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,71 B,(36 B),35 B,70523.19
12M 2011,(77 B),(73 B),(149 B),-51.52
12M 2012,288 B,(86 B),202 B,69.56
12M 2013,(362 B),(89 B),(452 B),-155.83
12M 2014,19 B,(197 B),(178 B),-61.38
12M 2015,193 B,(110 B),84 B,28.80
12M 2016,"1,459 B",(93 B),"1,366 B",471.00
12M 2017,(765 B),(119 B),(884 B),-304.90
12M 2018,"(2,427 B)",(181 B),"(2,609 B)",-817.76
12M 2019,"2,431 B",(245 B),"2,185 B",762.00
12M 2020,"2,853 B",(304 B),"2,549 B",798.91
12M 2021,22 B,(443 B),22 B,-26.39
12M 2022,427 B,(775 B),(348 B),-21.81
12M 2023,882 B,"(1,053 B)",(171 B),-10.72
12M 2024,"2,239 B",(812 B),"1,428 B",89.51
