Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,7.66 B,36.83,17.11,0.90,,3.44%,10.06%,12.01%,1.95
12M 2009,7.66 B,116.89,13.26,2.00,,12.33%,27.02%,27.33%,4.01
12M 2010,7.66 B,108.11,20.81,2.89,,7.94%,12.14%,18.23%,5.94
12M 2011,7.66 B,138.74,15.68,2.22,,9.71%,14.13%,18.31%,8.73
12M 2012,7.66 B,176.21,16.46,2.47,,11.10%,16.05%,20.51%,11.20
12M 2013,7.66 B,124.25,18.31,1.80,,6.39%,10.86%,16.62%,3.55
12M 2014,7.66 B,87.22,25.05,1.59,,3.89%,7.63%,10.33%,4.44
12M 2015,7.66 B,22.85,43.54,0.83,,1.01%,2.07%,2.44%,0.58
12M 2016,7.66 B,-37.14,-24.23,0.73,,-1.44%,-3.53%,1.48%,0.53
12M 2017,7.66 B,-98.92,-8.44,0.68,,-3.86%,-10.53%,1.53%,0.24
12M 2018,7.66 B,-108.05,-17.45,1.39,"1,082.78 B",-4.44%,-12.90%,0.34%,0.05
12M 2019,7.66 B,65.13,18.12,0.82,"1,772.58 B",2.55%,7.15%,9.76%,1.48
12M 2020,7.66 B,84.95,16.95,1.09,"2,474.82 B",3.14%,8.60%,9.91%,2.44
12M 2021,9.02 B,79.09,21.37,1.36,"2,399.09 B",3.32%,6.37%,9.00%,3.38
12M 2022,9.02 B,93.05,15.31,1.05,"2,279.66 B",3.93%,7.08%,8.47%,5.12
12M 2023,9.02 B,99.19,13.56,0.98,"2,273.47 B",4.03%,7.15%,8.86%,5.98
12M 2024,9.02 B,82.61,9.08,0.57,"2,087.63 B",3.54%,5.77%,7.52%,5.20
