Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,9 B,(12 B),(3 B),-3.66
12M 2009,(4 B),(4 B),(9 B),-12.14
12M 2010,21 B,(8 B),13 B,17.54
12M 2011,11 B,(35 B),(23 B),-32.29
12M 2012,(5 B),(10 B),(15 B),-20.85
12M 2013,7 B,(34 B),(28 B),-38.11
12M 2014,8 B,(60 B),(52 B),-72.37
12M 2015,4 B,(28 B),(24 B),-32.79
12M 2016,(4 B),(4 B),(8 B),-10.86
12M 2017,(6 B),(5 B),(11 B),-15.35
12M 2018,(52 B),(14 B),(66 B),-62.57
12M 2019,17 B,(3 B),14 B,13.40
12M 2020,41 B,(1 B),40 B,37.59
12M 2021,17 B,(2 B),15 B,14.37
12M 2022,(6 B),(1 B),(7 B),-6.18
12M 2023,(2 B),(0 B),(2 B),-2.03
12M 2024,(4 B),(4 B),(8 B),-7.62
