Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,6.91,,6.82,,43.48,,2.2,3.08,3.08,3.65
12M 2010,49.69,75.9,27.11,98.48,7.35,6.5,4.81,3.53,28.33,24.59,1.78,1.54,3.32,3.32,2.05
12M 2011,61.76,100.24,39.52,122.48,5.91,4.97,3.64,3.07,9.32,6.8,1.38,1.23,5.69,5.69,1.51
12M 2012,69.48,92.89,43.78,118.59,5.25,5.36,3.93,3.74,6.03,5.47,1.38,1.36,10.8,10.93,1.21
12M 2013,66.65,83.65,60.18,90.12,5.48,4.7,4.36,3.78,7.73,7.27,1.63,1.41,11.94,11.94,1.19
12M 2014,89.87,100.65,69.37,121.15,4.06,4.07,3.63,3.57,7.26,7.57,1.34,1.35,17.1,17.1,1.12
12M 2015,105.14,98.61,62.36,141.39,3.47,3.5,3.7,3.98,5.6,5.41,1.19,1.19,19.83,19.83,1.09
12M 2016,108.55,90.45,70.41,128.59,3.36,3.62,4.04,5.11,4.73,5.07,1.1,1.15,10.22,10.22,1.17
12M 2017,106.46,75.15,63.7,117.91,3.43,3.32,4.86,4.23,5.85,5.97,1.23,1.21,10.26,10.26,1.18
12M 2018,117.54,81.99,65.04,134.49,3.11,2.83,4.45,4.39,5.93,5.68,1.21,1.15,19.71,19.71,1.08
12M 2019,127.03,84.58,69.6,142.01,2.87,2.99,4.32,4.98,5.47,5.65,1.09,1.16,11.65,11.65,1.14
12M 2020,136.38,74.44,64.12,146.7,2.68,2.68,4.9,5.36,5.33,5.28,1.06,1.14,8.01,8.01,1.23
12M 2021,121.16,69.04,74.49,115.71,3.01,2.66,5.29,4.52,7.76,7.74,1.33,1.15,7.35,7.35,1.22
12M 2022,127.75,72.93,70.04,130.64,2.86,2.64,5.0,4.62,9.54,9.43,1.32,1.23,7.56,7.56,1.24
12M 2023,178.22,77.69,57.85,198.06,2.05,2.48,4.7,5.31,6.6,6.74,1.01,1.19,6.64,6.64,1.33
12M 2024,159.75,65.44,36.8,188.39,2.28,2.44,5.58,4.62,6.46,6.68,1.15,1.18,5.61,5.61,1.35
