Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,2.52 B,16.64,15.93,0.57,,6.90%,9.82%,28.89%,9.99
12M 2010,2.52 B,29.55,14.55,0.80,,8.13%,15.30%,15.55%,11.06
12M 2011,2.52 B,-7.63,-34.08,0.52,,-2.09%,-4.34%,-2.89%,-2.69
12M 2012,2.52 B,-24.79,-8.87,0.41,,-5.85%,-15.16%,-13.75%,-9.75
12M 2013,2.52 B,1.34,122.39,0.20,,0.22%,0.65%,7.29%,4.57
12M 2014,2.52 B,-35.22,-3.80,0.17,,-5.88%,-20.02%,-10.38%,-3.56
12M 2015,2.52 B,-31.90,-1.57,0.07,,-5.13%,-15.57%,-8.68%,-2.70
12M 2016,2.52 B,13.29,169.30,3.24,,2.09%,6.24%,3.66%,1.46
12M 2017,2.52 B,7.21,686.55,6.15,,1.06%,3.22%,4.82%,1.18
12M 2018,2.52 B,-8.68,-414.75,3.91,58.52 B,-1.02%,-3.51%,3.81%,0.87
12M 2019,2.52 B,15.03,44.91,0.74,81.33 B,1.80%,5.98%,6.99%,1.79
12M 2020,2.52 B,15.70,92.04,1.73,79.46 B,2.13%,5.81%,5.53%,2.11
12M 2021,2.52 B,33.25,29.32,0.82,206.22 B,3.13%,10.77%,21.52%,6.48
12M 2022,2.52 B,42.02,15.47,0.43,233.06 B,3.46%,11.35%,21.93%,4.12
12M 2023,2.52 B,-22.17,-13.71,0.29,(46.54 B),-2.67%,-6.50%,-8.67%,-1.38
12M 2024,2.52 B,-0.12,-1966.67,0.24,83.31 B,-0.01%,-0.03%,5.46%,0.90
