Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,134 B,4 B,139 B,54.92
12M 2010,(46 B),15 B,(31 B),-12.27
12M 2011,(117 B),(125 B),(242 B),-95.82
12M 2012,63 B,(50 B),12 B,4.95
12M 2013,39 B,(20 B),19 B,7.56
12M 2014,(137 B),(5 B),(143 B),-56.52
12M 2015,138 B,(7 B),130 B,51.71
12M 2016,186 B,(5 B),181 B,71.83
12M 2017,(153 B),(24 B),(177 B),-70.08
12M 2018,(158 B),(69 B),(226 B),-89.61
12M 2019,141 B,(23 B),119 B,47.03
12M 2020,120 B,(8 B),111 B,44.16
12M 2021,(24 B),(32 B),(56 B),-22.16
12M 2022,(403 B),(14 B),(417 B),-165.29
12M 2023,357 B,(19 B),338 B,133.79
12M 2024,48 B,(12 B),35 B,14.05
