Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,75 B,(76 B),(1 B),-0.24
12M 2012,95 B,(229 B),(134 B),0.00
12M 2013,143 B,(659 B),(516 B),0.00
12M 2014,236 B,(230 B),5 B,2.02
12M 2015,155 B,(44 B),111 B,42.07
12M 2016,152 B,(44 B),108 B,0.00
12M 2017,204 B,(34 B),170 B,0.00
12M 2018,222 B,(60 B),162 B,61.63
12M 2019,245 B,(119 B),125 B,47.57
12M 2020,180 B,(43 B),137 B,52.09
12M 2021,239 B,(68 B),171 B,65.12
12M 2022,406 B,(167 B),239 B,0.00
12M 2023,784 B,(757 B),26 B,-287.62
12M 2024,682 B,"(1,071 B)",(389 B),250.60
