Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,6.79 B,-1.44,-341.67,348.60,,-2.29%,-2.78%,2.49%,0.57
12M 2009,6.79 B,51.86,32.09,1.78,,5.36%,182.64%,41.35%,4.94
12M 2010,6.79 B,-23.37,-67.86,1.86,,-2.08%,-116.67%,18.29%,1.91
12M 2011,8.15 B,-18.82,-35.60,0.80,,-1.42%,-16.06%,9.20%,1.61
12M 2012,8.17 B,-18.06,-8.47,0.15,,-1.32%,-17.04%,6.02%,1.10
12M 2013,8.22 B,-43.60,-2.11,0.09,,-2.71%,-42.93%,8.30%,1.41
12M 2014,8.22 B,23.42,8.24,0.21,,1.71%,16.83%,10.28%,1.89
12M 2015,8.28 B,-13.44,-4.02,0.06,,-0.97%,-9.49%,11.88%,1.90
12M 2016,8.33 B,59.29,8.60,0.52,,4.16%,29.05%,17.15%,2.28
12M 2017,8.55 B,73.15,9.77,0.60,,4.88%,26.07%,24.50%,3.31
12M 2018,8.61 B,125.17,4.19,0.36,"4,220.84 B",6.29%,28.46%,20.34%,2.99
12M 2019,8.62 B,33.61,8.33,0.19,"3,314.46 B",1.76%,7.43%,9.64%,1.51
12M 2020,8.62 B,-39.63,-8.88,0.35,"2,356.97 B",-2.49%,-9.18%,2.45%,0.39
12M 2021,8.62 B,0.47,561.70,0.17,"3,317.37 B",0.02%,0.11%,8.60%,1.32
12M 2022,8.62 B,49.42,6.15,0.11,"5,389.87 B",1.74%,10.66%,11.31%,1.88
12M 2023,8.62 B,63.72,5.52,0.11,"6,245.62 B",1.90%,13.05%,11.96%,1.72
12M 2024,7.65 B,-127.06,-4.37,0.15,"4,981.43 B",-3.79%,-32.85%,4.25%,0.52
