Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,3.14,,0.1,,,0.0
12M 2009,,,,,,,,,2.61,2.79,0.1,0.1,,,0.0
12M 2010,,,,,,,,,2.61,3.01,0.09,0.08,,,0.0
12M 2011,,,,,,,,,3.73,8.08,0.09,0.15,,,0.0
12M 2012,,,,,,,,,5.06,5.28,0.09,0.1,,,0.0
12M 2013,,,,,,,,,5.76,5.88,0.09,0.09,,,0.0
12M 2014,,,,,,,,,4.31,3.15,0.1,0.09,,,0.0
12M 2015,,,,,,,,,3.31,3.42,0.1,0.1,,,0.0
12M 2016,,,,,,,,,2.66,2.72,0.1,0.09,,,0.0
12M 2017,,,,,,,,,1.78,1.82,0.08,0.07,,,0.0
12M 2018,,,,,,,,,1.69,1.91,0.08,0.08,,,0.0
12M 2019,,,,,,,,,1.72,1.71,0.07,0.07,,,0.0
12M 2020,,,,,,,,,1.54,1.53,0.06,0.05,,,0.0
12M 2021,,,,,,,,,1.53,1.57,0.05,0.05,,,0.0
12M 2022,,,,,,,,,1.73,1.79,0.05,0.05,,,0.0
12M 2023,,,,,,,,,2.2,2.26,0.06,0.06,,,0.0
12M 2024,,,,,,,,,2.71,2.73,0.07,0.07,,,0.0
