Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.74 B,1.33,47.37,0.84,,0.17%,1.39%,0.94%,
12M 2009,2.74 B,5.86,16.21,1.03,,0.57%,5.33%,0.88%,
12M 2010,3.76 B,7.53,15.41,1.29,,0.65%,5.43%,0.94%,
12M 2011,3.76 B,9.64,15.15,1.12,,0.56%,6.49%,0.90%,
12M 2012,4.28 B,21.97,6.28,0.99,,1.45%,12.45%,1.97%,
12M 2013,5.91 B,13.25,7.77,0.94,,0.99%,7.56%,4.46%,
12M 2014,5.91 B,8.95,18.66,1.10,,0.54%,4.33%,0.73%,
12M 2015,6.54 B,10.31,23.67,1.59,,0.67%,4.77%,0.93%,
12M 2016,16.63 B,1.33,111.28,2.31,,0.18%,0.93%,0.68%,
12M 2017,16.63 B,3.00,71.33,3.10,,0.32%,2.04%,0.53%,
12M 2018,16.63 B,5.40,26.30,1.90,174.92 B,0.56%,3.57%,0.81%,
12M 2019,16.63 B,4.75,27.16,1.65,176.21 B,0.42%,2.83%,0.66%,
12M 2020,37.92 B,1.32,105.30,4.11,137.71 B,0.20%,0.83%,0.26%,
12M 2021,37.92 B,2.09,55.50,3.52,406.34 B,0.30%,1.31%,0.42%,
12M 2022,37.92 B,3.59,22.28,2.29,242.49 B,0.54%,2.19%,0.67%,
12M 2023,37.92 B,6.36,12.26,1.75,353.43 B,0.87%,3.69%,1.14%,
12M 2024,37.92 B,7.79,9.50,1.31,434.56 B,0.88%,4.32%,1.22%,
