Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.11,0.1,1.06,3.55,0.0,0.0,0.98,0.3,2.51
12M 2009,0.17,0.17,0.34,2.47,0.0,0.0,0.24,0.14,1.47
12M 2010,0.45,0.44,0.15,1.88,0.0,0.0,-0.04,0.08,0.88
12M 2011,0.54,0.53,0.07,1.47,0.0,0.0,-0.08,0.05,0.47
12M 2012,0.67,0.54,0.07,1.43,0.0,0.0,-0.04,0.05,0.43
12M 2013,0.64,0.53,0.08,1.53,0.0,0.0,-0.05,0.06,0.53
12M 2014,1.82,1.45,0.0,1.26,0.0,0.0,-0.1,0.0,0.26
12M 2015,1.84,1.49,0.0,1.31,0.0,0.0,-0.1,0.0,0.27
12M 2016,4.05,3.68,0.0,1.14,0.0,0.0,-0.01,0.0,0.04
12M 2017,1.76,1.63,0.02,1.16,0.0,0.0,0.01,0.02,0.06
12M 2018,1.03,0.98,0.02,1.11,0.0,0.0,0.01,0.02,0.11
12M 2019,1.67,1.59,0.02,1.12,0.0,0.0,0.02,0.02,0.12
12M 2020,0.87,0.83,0.03,1.17,0.0,0.0,0.03,0.02,0.17
12M 2021,0.49,0.47,0.03,1.22,0.0,0.0,0.02,0.02,0.21
12M 2022,0.45,0.44,0.02,1.27,0.0,0.0,0.01,0.02,0.26
12M 2023,0.28,0.25,0.02,1.12,0.0,0.0,0.0,0.01,0.11
12M 2024,0.15,0.13,0.01,1.17,0.0,0.0,0.0,0.01,0.16
