Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.75 B,-22.65,-20.97,4.34,,-5.12%,-18.17%,11.14%,1.55
12M 2009,1.75 B,48.01,8.33,3.45,,11.25%,27.81%,6.96%,3.06
12M 2010,1.75 B,60.79,2.80,0.78,,13.82%,26.04%,29.49%,19.13
12M 2011,1.75 B,52.06,5.09,1.30,,12.31%,18.09%,21.13%,32.67
12M 2012,1.75 B,22.87,14.65,1.96,,5.16%,7.36%,8.79%,14.13
12M 2013,1.75 B,-13.69,-24.84,2.35,,-2.90%,-4.44%,3.05%,4.62
12M 2014,1.75 B,61.35,5.54,2.40,,13.13%,16.59%,-0.40%,-0.82
12M 2015,1.75 B,-13.26,-22.62,2.00,,-2.82%,-3.70%,-0.51%,-1.69
12M 2016,1.75 B,183.85,1.17,1.56,,7.52%,8.59%,-0.97%,
12M 2017,1.75 B,-36.85,-23.88,8.41,,-1.52%,-1.75%,-1.57%,-15.34
12M 2018,1.75 B,78.08,22.93,19.96,(80.17 B),3.20%,3.56%,-2.25%,-9.31
12M 2019,1.75 B,-34.19,-28.66,10.78,(66.61 B),-1.41%,-1.58%,-1.91%,-7.61
12M 2020,1.75 B,-128.18,-2.53,7.77,(101.69 B),-5.41%,-6.34%,-2.83%,-9.75
12M 2021,1.75 B,-97.21,-8.69,17.31,(79.04 B),-4.13%,-5.04%,-2.60%,-9.68
12M 2022,1.75 B,-135.37,-5.98,16.01,(84.53 B),-5.92%,-7.52%,-2.85%,-16.18
12M 2023,2.95 B,-55.56,-8.96,20.55,(119.85 B),-4.08%,-4.57%,-3.54%,-33.26
12M 2024,2.95 B,-49.68,-8.29,19.12,(130.76 B),-3.64%,-4.24%,-3.70%,-26.59
