Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(4 B),(11 B),(14 B),-8.30
12M 2009,15 B,(6 B),9 B,5.29
12M 2010,120 B,(6 B),114 B,65.37
12M 2011,38 B,(18 B),20 B,11.25
12M 2012,33 B,(56 B),(24 B),-13.53
12M 2013,27 B,(21 B),5 B,3.05
12M 2014,(9 B),(8 B),(18 B),-10.04
12M 2015,3 B,(9 B),(6 B),-3.32
12M 2016,(152 B),(9 B),(162 B),-92.68
12M 2017,(19 B),(10 B),(28 B),-16.21
12M 2018,(64 B),(5 B),(68 B),-39.23
12M 2019,(84 B),(7 B),(91 B),-52.04
12M 2020,(88 B),(10 B),(98 B),-56.39
12M 2021,(91 B),(1 B),(91 B),-52.33
12M 2022,(118 B),(6 B),(123 B),-70.76
12M 2023,(110 B),(10 B),(121 B),-40.99
12M 2024,(152 B),(6 B),(158 B),-53.76
