Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,(120 B),(3 B),(123 B),-113.66
12M 2011,(395 B),(27 B),(421 B),-273.59
12M 2012,(273 B),(17 B),(290 B),-188.03
12M 2013,(244 B),(8 B),(252 B),-163.67
12M 2014,(497 B),(32 B),(529 B),-343.22
12M 2015,(532 B),(16 B),(548 B),-235.14
12M 2016,(401 B),(14 B),(415 B),-178.11
12M 2017,(190 B),(14 B),(204 B),-87.70
12M 2018,"1,695 B",(7 B),"1,688 B",724.64
12M 2019,880 B,(4 B),877 B,143.78
12M 2020,121 B,(8 B),112 B,18.41
12M 2021,(628 B),(3 B),(631 B),-96.49
12M 2022,(453 B),(3 B),(456 B),-69.74
12M 2023,(825 B),(2 B),(827 B),-126.33
12M 2024,(670 B),(5 B),(674 B),-103.05
