Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,552 B,(186 B),367 B,1501169.28
12M 2013,0 B,(154 B),(154 B),-56.76
12M 2014,353 B,(44 B),309 B,113.84
12M 2015,568 B,(19 B),549 B,202.26
12M 2016,293 B,(0 B),292 B,107.81
12M 2017,"1,923 B",(0 B),"1,922 B",708.62
12M 2018,(379 B),(0 B),(379 B),-139.73
12M 2019,675 B,(0 B),674 B,248.53
12M 2020,367 B,(0 B),366 B,134.98
12M 2021,(363 B),(0 B),(363 B),-26.77
12M 2022,"3,707 B",(1 B),"3,706 B",273.20
12M 2023,"1,408 B",(1 B),"1,407 B",103.73
12M 2024,"(1,031 B)",(18 B),"(1,049 B)",-77.37
