Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,17.30 B,22.94,28.73,4.47,,3.37%,8.82%,8.78%,31.18
12M 2009,17.30 B,25.23,16.65,2.83,,3.60%,8.93%,4.44%,44.43
12M 2010,21.63 B,27.49,21.43,4.08,,3.68%,7.71%,5.55%,33.55
12M 2011,23.08 B,30.69,18.64,3.15,,3.88%,8.02%,5.77%,1195.03
12M 2012,23.08 B,45.94,18.85,3.24,,4.26%,9.95%,8.02%,948.84
12M 2013,23.08 B,53.22,14.81,2.73,,3.92%,9.59%,8.12%,72.74
12M 2014,23.08 B,110.38,8.00,1.75,,6.75%,16.32%,13.02%,31.21
12M 2015,23.08 B,23.20,38.62,2.38,,1.30%,3.27%,4.35%,8.42
12M 2016,23.08 B,38.24,16.29,1.39,,1.93%,4.75%,4.83%,7.53
12M 2017,23.08 B,26.61,15.86,0.89,,1.08%,2.69%,2.72%,8.89
12M 2018,23.08 B,30.12,7.30,0.41,"1,665.07 B",1.40%,3.71%,1.89%,6.32
12M 2019,70.90 B,-27.97,-8.65,1.41,(4.37 B),-3.60%,-6.89%,-2.01%,-1.00
12M 2020,70.90 B,-125.41,-1.71,1.28,"(3,177.44 B)",-17.14%,-45.65%,-11.09%,-2.66
12M 2021,70.90 B,-22.61,-6.24,0.62,"3,679.49 B",-3.08%,-8.55%,3.48%,0.58
12M 2022,70.90 B,-37.97,-2.08,0.38,"1,176.99 B",-5.40%,-17.57%,0.27%,0.06
12M 2023,70.90 B,0.71,136.62,0.41,"5,026.64 B",0.10%,0.33%,9.21%,2.03
12M 2024,70.90 B,264.41,0.39,0.64,"21,063.58 B",34.85%,62.76%,49.27%,16.28
