Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(239 B),(267 B),(506 B),-29.25
12M 2009,116 B,(165 B),(165 B),-2.85
12M 2010,(690 B),(331 B),(690 B),-47.19
12M 2011,375 B,(424 B),(50 B),-2.16
12M 2012,"1,289 B",(963 B),326 B,14.13
12M 2013,"(2,079 B)","(1,334 B)","(3,413 B)",-147.89
12M 2014,731 B,(668 B),64 B,2.75
12M 2015,"(2,711 B)",(513 B),"(3,224 B)",-139.70
12M 2016,(559 B),(575 B),"(1,134 B)",-49.14
12M 2017,"(4,507 B)","(1,178 B)","(5,685 B)",-246.34
12M 2018,"(1,956 B)",(925 B),"(2,881 B)",-124.84
12M 2019,"(4,539 B)",(673 B),"(5,212 B)",-73.51
12M 2020,"(2,373 B)",(405 B),"(2,778 B)",-39.18
12M 2021,"1,628 B",(371 B),"1,257 B",17.73
12M 2022,(235 B),(888 B),"(1,123 B)",-15.84
12M 2023,"2,061 B","(1,064 B)","1,000 B",14.06
12M 2024,"1,743 B",(491 B),"1,252 B",17.66
