Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2011,,,,,,,,,,,,,10.75,10.75,1.12
12M 2012,63.41,382.8,73.38,372.83,5.76,4.99,0.95,0.85,2.56,2.69,0.67,0.64,8.04,8.04,1.13
12M 2013,65.1,334.33,77.22,322.21,5.61,4.18,1.09,1.01,3.88,3.84,0.82,0.74,14.19,14.19,1.08
12M 2014,93.5,471.57,101.81,463.26,3.9,3.57,0.77,0.7,3.26,3.33,0.6,0.56,9.41,9.41,1.09
12M 2015,105.95,536.91,107.42,535.44,3.45,3.1,0.68,0.61,1.5,1.53,0.45,0.42,1.48,1.48,1.88
12M 2016,106.23,481.36,95.64,491.95,3.44,3.08,0.76,0.76,1.21,1.21,0.45,0.45,1.77,1.77,1.89
12M 2017,164.57,647.51,99.05,713.03,2.22,1.95,0.56,0.52,1.05,1.07,0.35,0.33,1.19,1.19,1.89
12M 2018,170.91,562.19,57.71,675.39,2.14,2.15,0.65,0.66,1.3,1.3,0.39,0.39,1.34,1.34,1.87
12M 2019,311.71,971.67,65.85,1217.53,1.17,1.22,0.38,0.37,0.71,0.72,0.2,0.2,0.8,0.8,1.7
12M 2020,347.05,1334.8,63.65,1618.2,1.05,1.02,0.27,0.27,0.49,0.5,0.14,0.14,0.88,,1.4
12M 2021,291.93,1656.25,75.81,1872.37,1.25,1.34,0.22,0.22,0.46,0.46,0.14,0.14,0.97,0.97,1.3
12M 2022,245.32,1303.54,71.87,1476.99,1.49,1.43,0.28,0.28,0.57,0.58,0.16,0.16,1.62,1.62,1.19
12M 2023,287.49,1772.91,97.09,1963.31,1.27,1.26,0.21,0.2,0.45,0.45,0.14,0.13,0.36,0.36,2.72
12M 2024,185.48,932.58,48.49,1069.57,1.97,1.86,0.39,0.4,0.6,0.6,0.2,0.2,0.57,0.57,2.66
