Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,1.15,61.74,1.15,61.74,64 B,1 B,65 B,55 B,14 B
12M 2012,0.91,63.98,0.91,63.98,67 B,0 B,67 B,53 B,20 B
12M 2013,0.99,64.38,0.99,64.38,90 B,5 B,95 B,82 B,17 B
12M 2014,1.03,65.20,1.03,65.20,109 B,2 B,110 B,100 B,22 B
12M 2015,0.24,234.79,0.24,234.79,39 B,0 B,39 B,36 B,149 B
12M 2016,0.31,255.89,0.31,255.89,78 B,4 B,82 B,76 B,156 B
12M 2017,0.38,261.13,0.38,261.13,137 B,2 B,139 B,135 B,197 B
12M 2018,0.45,266.17,0.45,266.17,170 B,0 B,170 B,165 B,210 B
12M 2019,0.29,241.51,0.29,241.51,178 B,0 B,179 B,174 B,190 B
12M 2020,0.29,186.61,0.29,186.61,192 B,0 B,192 B,188 B,117 B
12M 2021,0.30,166.21,0.30,166.21,191 B,,191 B,189 B,96 B
12M 2022,0.36,140.42,0.36,140.42,195 B,,195 B,194 B,71 B
12M 2023,0.07,171.69,0.07,171.69,5 B,189 B,195 B,191 B,272 B
12M 2024,0.17,154.96,0.17,154.96,6 B,186 B,193 B,188 B,256 B
