Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,1.12,0.34,0.86,2.87,0.0,0.0,0.72,0.3,1.87
12M 2012,1.13,0.33,0.85,3.32,0.0,0.0,0.67,0.26,2.32
12M 2013,1.08,0.34,1.19,4.13,0.0,0.0,1.03,0.29,3.13
12M 2014,1.09,0.29,1.38,4.56,0.0,0.0,1.25,0.3,3.56
12M 2015,1.88,0.52,0.14,2.1,0.0,0.0,0.12,0.06,1.1
12M 2016,1.89,0.57,0.26,1.96,0.0,0.0,0.24,0.13,0.96
12M 2017,1.89,0.63,0.43,2.18,0.0,0.0,0.42,0.2,1.18
12M 2018,1.87,0.7,0.52,2.25,0.0,0.0,0.5,0.23,1.25
12M 2019,1.7,0.58,0.6,2.5,0.0,0.0,0.58,0.24,1.5
12M 2020,1.4,0.38,0.84,3.02,0.0,0.0,0.82,0.28,2.02
12M 2021,1.3,0.33,0.93,3.37,0.0,0.0,0.92,0.28,2.37
12M 2022,1.19,0.34,1.13,4.12,0.0,0.0,1.12,0.27,3.12
12M 2023,2.72,0.74,0.92,3.56,0.0,0.0,0.9,0.26,2.56
12M 2024,2.66,0.8,1.01,3.85,0.0,0.0,0.99,0.26,2.85
