Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,,,,0.00
12M 2009,,,,0.00
12M 2010,,,,0.00
12M 2011,,,,0.00
12M 2012,10 B,(0 B),10 B,7.79
12M 2013,6 B,(6 B),(0 B),-0.23
12M 2014,(21 B),(5 B),(27 B),-21.69
12M 2015,(14 B),(1 B),(15 B),-12.35
12M 2016,(8 B),(4 B),(12 B),-9.76
12M 2017,(79 B),(1 B),(80 B),-64.91
12M 2018,(27 B),(7 B),(34 B),-27.26
12M 2019,(12 B),(1 B),(13 B),-10.91
12M 2020,(1 B),(0 B),(1 B),-1.21
12M 2021,(1 B),(0 B),(1 B),-1.21
12M 2022,(4 B),(0 B),(4 B),-3.61
12M 2023,(0 B),,(0 B),-0.28
12M 2024,3 B,(0 B),3 B,2.35
