Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.75 B,53.72,9.31,2.12,,6.68%,11.97%,33.42%,14.93
12M 2009,2.75 B,70.42,11.36,3.32,,7.49%,14.33%,17.12%,12.23
12M 2010,2.75 B,95.93,13.55,4.62,,8.00%,17.31%,18.53%,33.37
12M 2011,2.75 B,125.90,17.47,6.77,,8.48%,19.42%,18.72%,323.82
12M 2012,2.75 B,155.34,19.96,7.74,,8.55%,20.38%,18.85%,
12M 2013,13.75 B,39.78,20.11,8.36,,8.88%,21.91%,19.79%,
12M 2014,13.75 B,52.54,19.79,7.39,,10.81%,23.90%,23.25%,
12M 2015,13.75 B,63.49,11.73,4.76,,11.52%,22.07%,23.14%,
12M 2016,13.75 B,73.49,11.91,5.05,,11.91%,21.50%,22.31%,253.02
12M 2017,13.75 B,81.01,11.11,5.15,,11.76%,19.45%,21.33%,120.71
12M 2018,13.75 B,75.14,9.85,4.37,"1,183.65 B",9.80%,16.13%,16.62%,316.44
12M 2019,13.75 B,73.95,8.11,3.40,"1,150.67 B",9.11%,14.35%,14.47%,407.46
12M 2020,13.75 B,67.27,8.92,3.78,"1,167.70 B",8.06%,12.28%,13.70%,142.75
12M 2021,13.75 B,55.92,9.30,3.29,911.15 B,6.54%,9.78%,10.03%,317.66
12M 2022,13.75 B,62.61,7.99,3.04,"1,032.38 B",7.03%,10.32%,11.14%,360.19
12M 2023,13.75 B,73.06,9.58,3.84,"1,182.98 B",7.61%,11.18%,12.07%,790.06
12M 2024,13.75 B,82.22,9.00,3.45,"1,388.52 B",8.02%,11.53%,12.48%,1329.85
