Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.99,0.12,0.1,1.79,0.0,0.0,0.04,0.06,0.75
12M 2009,0.99,0.29,0.07,1.91,0.0,0.0,-0.12,0.04,0.87
12M 2010,1.0,0.5,0.0,2.16,0.0,0.0,-0.5,0.0,1.1
12M 2011,0.92,0.46,0.0,2.29,0.0,0.0,-0.49,0.0,1.23
12M 2012,0.88,0.4,0.0,2.38,0.0,0.0,-0.42,0.0,1.32
12M 2013,0.7,0.26,0.0,2.47,0.0,0.0,-0.24,0.0,1.39
12M 2014,0.76,0.21,0.0,2.21,0.0,0.0,-0.07,0.0,1.15
12M 2015,0.98,0.24,0.01,1.92,0.0,0.0,-0.04,0.01,0.87
12M 2016,0.97,0.21,0.03,1.81,0.0,0.0,-0.04,0.02,0.76
12M 2017,1.11,0.3,0.03,1.65,0.0,0.0,-0.1,0.02,0.61
12M 2018,1.13,0.34,0.01,1.65,0.0,0.0,-0.14,0.0,0.6
12M 2019,1.15,0.3,0.01,1.58,0.0,0.0,-0.11,0.0,0.53
12M 2020,1.29,0.4,0.0,1.52,0.0,0.0,-0.13,0.0,0.48
12M 2021,1.03,0.21,0.0,1.49,0.0,0.0,-0.07,0.0,0.46
12M 2022,1.01,0.22,0.0,1.47,0.0,0.0,-0.07,0.0,0.43
12M 2023,0.87,0.13,0.0,1.47,0.0,0.0,-0.04,0.0,0.44
12M 2024,1.06,0.26,0.0,1.44,0.0,0.0,-0.08,0.0,0.41
