Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,5.47 B,405.21,1.83,0.16,,3.39%,9.42%,11.33%,3.44
12M 2009,5.47 B,-272.38,-6.39,0.57,,-2.73%,-7.96%,-0.08%,-0.06
12M 2010,5.47 B,21.36,76.78,0.40,,0.22%,0.65%,3.86%,2.23
12M 2011,5.47 B,26.60,46.24,0.29,,0.25%,0.79%,1.61%,1.05
12M 2012,5.47 B,87.68,7.76,0.15,,0.75%,2.39%,1.35%,0.73
12M 2013,5.47 B,492.89,2.84,0.24,,3.26%,9.64%,3.45%,1.21
12M 2014,5.47 B,286.85,3.64,0.17,,1.93%,5.24%,3.57%,1.68
12M 2015,5.47 B,545.32,1.75,0.14,,3.07%,8.25%,6.13%,3.02
12M 2016,5.47 B,493.05,1.94,0.14,,2.92%,7.12%,5.07%,2.45
12M 2017,5.47 B,1010.86,5.34,0.71,,5.35%,12.69%,10.27%,4.87
12M 2018,5.47 B,1531.83,7.54,1.33,"16,904.44 B",6.61%,15.35%,13.81%,5.05
12M 2019,5.47 B,709.44,10.85,0.92,"12,214.30 B",3.28%,6.97%,8.16%,2.94
12M 2020,5.47 B,783.47,13.31,1.31,"11,862.61 B",3.58%,7.15%,8.35%,2.69
12M 2021,5.47 B,1376.92,5.68,0.85,"16,291.39 B",5.88%,11.07%,13.03%,3.56
12M 2022,5.47 B,2331.63,3.74,0.80,"20,751.19 B",8.49%,14.60%,16.03%,4.62
12M 2023,5.47 B,1147.25,7.26,0.86,"15,587.28 B",4.02%,6.78%,10.06%,2.74
12M 2024,5.47 B,1229.26,5.53,0.73,"13,942.14 B",3.53%,6.50%,7.49%,2.17
