Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,8.73 B,4.01,11.97,1.32,,2.54%,3.45%,10.92%,2.99
12M 2009,8.74 B,13.99,36.95,13.51,,7.57%,11.13%,7.97%,4.50
12M 2010,8.75 B,16.31,37.03,13.02,,6.53%,12.24%,9.18%,6.49
12M 2011,9.73 B,12.20,79.02,16.93,,4.58%,8.62%,9.10%,3.72
12M 2012,9.73 B,-31.87,-35.14,20.71,,-9.55%,-27.19%,-10.63%,-2.23
12M 2013,9.73 B,2.04,759.31,19.58,,0.51%,1.36%,10.48%,1.35
12M 2014,9.73 B,-43.81,-4.68,2.67,,-12.00%,-40.16%,-12.54%,-1.70
12M 2015,9.73 B,-95.24,-0.50,1.03,,-32.70%,-413.75%,-60.58%,-7.57
12M 2016,9.73 B,-22.92,-6.02,3.75,,-10.26%,3383.35%,-15.25%,-0.76
12M 2017,49.63 B,-0.67,-295.52,18.99,,-0.29%,-0.69%,2.47%,1.48
12M 2018,49.63 B,5.95,28.57,2.42,886.27 B,3.59%,5.95%,5.46%,2.13
