Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,126 B,(388 B),(262 B),-42.82
12M 2009,181 B,(187 B),(7 B),-1.10
12M 2010,504 B,(743 B),(239 B),-39.02
12M 2011,99 B,"(1,236 B)","(1,138 B)",-185.81
12M 2012,499 B,(824 B),(325 B),-35.39
12M 2013,118 B,(421 B),(303 B),-32.99
12M 2014,310 B,(333 B),(23 B),-2.47
12M 2015,679 B,(259 B),420 B,45.75
12M 2016,373 B,(417 B),(44 B),-4.82
12M 2017,372 B,(656 B),(284 B),-30.92
12M 2018,246 B,(334 B),246 B,-9.59
12M 2019,(411 B),(49 B),(459 B),-50.01
12M 2020,938 B,(212 B),726 B,79.08
12M 2021,899 B,(269 B),630 B,68.62
12M 2022,"1,651 B",(503 B),"1,148 B",125.02
12M 2023,"1,758 B",(313 B),"1,758 B",157.40
12M 2024,962 B,(350 B),612 B,67.02
