Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.00 B,46443.81,0.00,0.00,,0.61%,8.53%,1.87%,
12M 2010,7.28 B,13.98,28.61,3.18,,0.91%,11.17%,1.47%,
12M 2011,9.08 B,12.41,21.51,1.85,,0.68%,8.70%,1.11%,
12M 2012,10.28 B,22.16,10.15,1.59,,1.50%,12.48%,1.79%,
12M 2013,13.12 B,16.86,14.23,2.26,,1.27%,8.03%,1.76%,
12M 2014,14.04 B,11.03,30.73,2.65,,0.73%,4.90%,1.04%,
12M 2015,14.15 B,13.08,30.12,2.34,,0.66%,5.05%,0.97%,
12M 2016,15.25 B,24.30,35.80,4.61,,1.19%,8.28%,1.67%,
12M 2017,15.38 B,20.73,42.45,4.36,,1.05%,6.58%,1.32%,
12M 2018,15.38 B,3.28,167.68,2.74,190.63 B,0.16%,1.04%,0.25%,
12M 2019,16.98 B,0.40,1462.50,2.96,220.45 B,0.02%,0.11%,0.24%,
12M 2020,17.46 B,6.79,74.37,2.67,362.29 B,0.27%,1.96%,0.29%,
12M 2021,17.46 B,7.32,119.54,4.60,411.92 B,0.24%,1.74%,0.33%,
12M 2022,19.72 B,11.22,75.31,5.05,527.53 B,0.47%,3.04%,0.55%,
12M 2023,19.72 B,3.84,231.77,4.99,340.82 B,0.14%,0.97%,0.15%,
12M 2024,19.72 B,14.75,55.59,4.27,924.42 B,0.52%,3.62%,0.81%,
