Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,667 B,(74 B),593 B,564505.71
12M 2010,699 B,(33 B),666 B,91.46
12M 2011,"1,247 B",(155 B),"1,091 B",120.19
12M 2012,"(1,112 B)",(187 B),"(1,299 B)",-126.35
12M 2013,(36 B),(107 B),(143 B),-10.87
12M 2014,324 B,(105 B),219 B,15.60
12M 2015,"2,014 B",(217 B),"1,797 B",127.00
12M 2016,751 B,(98 B),653 B,42.79
12M 2017,(808 B),(212 B),"(1,020 B)",-66.31
12M 2018,(950 B),(189 B),"(1,139 B)",-74.04
12M 2019,"(1,212 B)",(240 B),"(1,452 B)",-85.52
12M 2020,"2,117 B",(243 B),"1,874 B",107.30
12M 2021,"7,837 B",(116 B),"7,722 B",442.19
12M 2022,"(4,999 B)",(120 B),"(5,119 B)",-259.66
12M 2023,"4,629 B",(189 B),"4,440 B",225.18
12M 2024,"1,165 B",(153 B),"1,012 B",51.34
