Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,20 B,(27 B),(7 B),-9.48
12M 2014,22 B,(22 B),(0 B),-0.43
12M 2015,29 B,(26 B),4 B,5.17
12M 2016,33 B,(31 B),2 B,3.08
12M 2017,47 B,(43 B),4 B,4.85
12M 2018,49 B,(30 B),18 B,24.36
12M 2019,60 B,(23 B),37 B,48.66
12M 2020,48 B,(18 B),30 B,39.91
12M 2021,36 B,(8 B),28 B,36.54
12M 2022,88 B,(20 B),68 B,89.46
12M 2023,84 B,(24 B),60 B,79.31
12M 2024,83 B,(27 B),57 B,74.92
