Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,1.00,180.28,1.01,179.10,4 B,5 B,10 B,(16 B),31 B
12M 2014,1.72,196.65,1.73,195.52,,,,(17 B),25 B
12M 2015,0.87,214.51,0.88,213.43,,,,(15 B),22 B
12M 2016,3.30,239.51,3.31,238.48,1 B,4 B,5 B,(17 B),18 B
12M 2017,3.02,264.79,3.03,263.82,5 B,5 B,10 B,(7 B),18 B
12M 2018,2.73,293.47,2.73,292.55,4 B,3 B,8 B,(31 B),24 B
12M 2019,2.46,312.76,2.46,312.76,,,,(291 B),148 B
12M 2020,5.04,150.66,5.04,150.66,,,,(42 B),17 B
12M 2021,6.39,151.88,6.39,151.88,,,,(94 B),85 B
12M 2022,4.85,160.71,4.85,160.71,,,,(113 B),77 B
12M 2023,3.61,170.55,3.61,170.55,,,,(120 B),88 B
12M 2024,6.69,168.11,6.69,168.11,,,,(114 B),92 B
