Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2013,4.61,4.55,0.07,1.14,0.0,0.0,-0.11,0.06,0.14
12M 2014,5.48,5.39,0.0,1.08,0.0,0.0,-0.11,0.0,0.08
12M 2015,2.64,2.61,0.0,1.14,0.0,0.0,-0.1,0.0,0.14
12M 2016,1.86,1.83,0.03,1.19,0.0,0.0,-0.09,0.02,0.19
12M 2017,1.69,1.66,0.05,1.22,0.0,0.0,-0.03,0.04,0.22
12M 2018,1.76,1.73,0.03,1.23,0.0,0.0,-0.14,0.03,0.23
12M 2019,1.9,1.9,0.0,1.78,0.0,0.0,-1.23,0.0,0.78
12M 2020,1.38,1.37,0.0,2.99,0.0,0.0,-0.37,0.0,1.99
12M 2021,4.16,4.13,0.0,2.96,0.0,0.0,-0.81,0.0,1.96
12M 2022,2.38,2.36,0.0,2.98,0.0,0.0,-0.93,0.0,1.98
12M 2023,2.66,2.64,0.0,2.74,0.0,0.0,-0.93,0.0,1.74
12M 2024,3.01,2.99,0.0,3.71,0.0,0.0,-0.9,0.0,2.71
