Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,8 B,(1 B),7 B,11.39
12M 2009,25 B,(0 B),25 B,38.14
12M 2010,15 B,(0 B),15 B,23.83
12M 2011,4 B,(1 B),4 B,5.66
12M 2012,3 B,(0 B),3 B,4.17
12M 2013,(7 B),(1 B),(8 B),-11.52
12M 2014,(7 B),(0 B),(7 B),-10.85
12M 2015,(4 B),(0 B),(4 B),-6.53
12M 2016,1 B,(0 B),1 B,1.98
12M 2017,13 B,0 B,13 B,19.54
12M 2018,4 B,(0 B),4 B,5.32
12M 2019,0 B,(1 B),(0 B),-0.59
12M 2020,(1 B),(0 B),(1 B),-1.94
12M 2021,(0 B),(0 B),(0 B),-0.73
12M 2022,(2 B),,(2 B),-3.59
12M 2023,(1 B),(0 B),(1 B),-1.18
12M 2024,(1 B),(0 B),(1 B),-1.88
