Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.65 B,0.69,210.14,1.80,,0.35%,0.77%,18.19%,
12M 2009,0.65 B,13.82,4.85,0.68,,6.66%,13.42%,15.68%,
12M 2010,0.65 B,19.51,12.81,2.98,,9.30%,16.93%,14.83%,
12M 2011,0.65 B,9.08,16.30,3.14,,3.98%,7.30%,7.65%,1.86
12M 2012,0.66 B,6.78,20.50,3.65,,2.82%,5.13%,4.39%,2.29
12M 2013,0.66 B,7.59,8.70,1.09,,2.86%,5.43%,8.32%,2.12
12M 2014,0.66 B,10.65,4.69,0.73,,4.00%,7.08%,10.58%,2.81
12M 2015,0.66 B,1.82,27.47,1.37,,0.68%,1.19%,5.05%,1.20
12M 2016,0.66 B,2.75,18.18,0.97,,1.01%,1.69%,9.15%,1.31
12M 2017,0.66 B,19.96,4.41,1.25,,7.38%,11.00%,13.49%,3.33
12M 2018,0.66 B,7.48,14.57,2.54,6.07 B,2.87%,3.87%,4.70%,3.06
12M 2019,0.66 B,7.49,9.48,1.94,5.62 B,3.46%,3.66%,3.85%,11.68
12M 2020,0.66 B,-5.65,-8.85,3.48,(2.27 B),-2.63%,-2.79%,-2.02%,-8.08
12M 2021,0.66 B,-3.10,-21.94,7.26,(0.97 B),-1.47%,-1.55%,-1.46%,-6.01
12M 2022,0.66 B,-5.61,-16.93,16.92,(2.69 B),-2.74%,-2.88%,-2.73%,-9.51
12M 2023,0.66 B,-4.32,-15.51,5.46,(2.13 B),-2.12%,-2.27%,-2.07%,-5.88
12M 2024,0.66 B,-6.91,-8.10,9.11,(3.83 B),-3.45%,-3.79%,-3.47%,-8.60
